7.045666, -0.0011964113, 7.1007013, -0.010702848, 0.037721634, 10.002992
188050244655698, 7.0301127, 0.0, 7.140183, -0.024706244, 0.001499176, 10.0201845
188050254295906, 7.0372915, -0.021535404, 7.109076, 0.002639532, 0.021696568, 10.00312
188050263936114, 7.018149, -0.03589234, 7.1042905, 0.013017297, 0.01642704, 9.986302
188050273576323, 7.0061846, -0.061016977, 7.0899334, 0.03785312, 0.011211395, 9.967745
188050283216531, 7.0133634, -0.07298109, 7.0731835, 0.0547359, 0.02315998, 9.960873
188050292856739, 6.984649, -0.07537391, 7.088737, 0.046753645, -0.00899744, 9.951831
188050302496948, 6.9942207, -0.0741775, 7.1389866, 0.035128713, -0.040260315, 9.994345
188050312137156, 7.0576305, -0.06580263, 7.2095747, 0.024013996, -0.047970295, 10.089082
188050321777364, 7.058827, -0.05623133, 7.2323065, 0.009676099, -0.05870104, 10.106083
188050331417573, 7.0528445, -0.04546363, 7.213164, 0.007301688, -0.0361948, 10.088264
188050341057781, 7.04447, -0.06819545, 7.149754, 0.042593718, -0.008638859, 10.037247
188050350697989, 7.042077, -0.059820566, 7.153343, 0.036430597, -1.2779236E-4, 10.038099
188050360338094, 7.0396843, -0.0047856453, 7.149754, -0.014495134, 0.027561188, 10.033703
188050369978302, 7.0325055, 0.0059820567, 7.183254, -0.035229564, -6.790161E-4, 10.052567
188050379618510, 7.058827, 0.015553347, 7.2323065, -0.049616575, -0.02007246, 10.105972
188050389258719, 7.036095, -0.0011964113, 7.2526455, -0.043778777, -0.054631233, 10.104584
188050398898927, 7.0492554, 0.0023928226, 7.2646093, -0.04485917, -0.058345795, 10.122309
188050408539135, 7.0672016, 0.0071784677, 7.2119675, -0.031152487, -0.0068421364, 10.09737
188050418179344, 7.0803623, -0.008374879, 7.172486, -0.004195094, 0.023052692, 10.078472
188050427819552, 7.025327, -0.03589234, 7.1569324, 0.013702631, -0.0093894005, 10.028855
188050437459760, 7.051648, -0.03589234, 7.1306114, 0.02494514, 0.027469635, 10.028523
188050447099969, 7.066005, -0.04546363, 7.135397, 0.03635764, 0.030609608, 10.042019
188050456740177, 7.045666, -0.029910283, 7.1377897, 0.014343739, 0.017390728, 10.029449
188050466380385, 7.038488, -0.02632105, 7.119844, 0.010256767, 0.018397808, 10.01163
188050476020594, 7.031309, -0.029910283, 7.105487, 0.015446782, 0.021718502, 9.99637
188050485660802, 7.042077, -0.0071784677, 7.1282187, -0.0095870495, 0.020724773, 10.020075
188050495301010, 7.0492554, -0.019142581, 7.109076, 0.008657098, 0.03326273, 10.011501
188050504941219, 7.04447, -0.020338992, 7.1222367, 0.0051766634, 0.021044731, 10.017523
188050514581427, 7.0528445, -0.008374879, 7.1246295, -0.0036542416, 0.028923035, 10.025078
188050524221635, 7.0779696, -0.0059820567, 7.1413794, -0.0026111603, 0.034983158, 10.054639
188050533861844, 7.079166, 0.041874398, 7.2179494, -0.06454694, 7.863045E-4, 10.109944
188050543502052, 7.1007013, 0.047856454, 7.2059855, -0.060347915, 0.02611065, 10.116529
188050553142260, 7.097112, 0.029910283, 7.2155566, -0.044226527, 0.011885166, 10.1208725
