6.0622163, 0.21296121, 7.995617, 0.011306763, 0.015494347, 10.0362015
1195380223919064, 6.0550375, 0.22971097, 7.9920278, -0.006602943, 0.015723705, 10.02938
1195380233558127, 6.0598235, 0.23330021, 7.989635, -0.009236991, 0.0221591, 10.030434
1195380243197293, 6.038288, 0.25124636, 7.989635, -0.030975819, 0.009331703, 10.017847
1195380252836356, 6.033502, 0.23330021, 8.017152, -0.017167985, -0.01453495, 10.036524
1195380262475522, 6.0430737, 0.22971097, 8.049456, -0.015540481, -0.026854038, 10.067982
1195380272114585, 6.0598235, 0.23330021, 8.049456, -0.017060399, -0.010260582, 10.078156
1195380281753752, 6.0598235, 0.22851457, 8.070991, -0.015089273, -0.022785664, 10.095239
1195380291392814, 6.068198, 0.22372891, 8.059027, -0.0076020956, -0.010159016, 10.0906315
1195380301031981, 6.0634127, 0.23928227, 8.019546, -0.01864636, 0.0136499405, 10.05658
1195380310671043, 6.050252, 0.22971097, 7.9908314, -0.008275628, 0.018069267, 10.025533
1195380320310210, 6.0251274, 0.23449662, 7.9597244, -0.014220238, 0.01691866, 9.985683
1195380329949272, 6.0155563, 0.23090738, 7.978867, -0.016026258, -0.0047135353, 9.995113
1195380339588439, 6.029913, 0.22253251, 7.984849, -0.0055339336, 0.0010733604, 10.008354
1195380349227606, 6.067002, 0.21415763, 8.021938, 0.0058783293, 0.006725788, 10.060109
1195380358866668, 6.068198, 0.2117648, 8.049456, 0.0046185255, -0.009068966, 10.082733
1195380368505835, 6.0658054, 0.20338993, 8.045866, 0.013082862, -0.009541512, 10.078246
1195380378144897, 6.0574307, 0.2321038, 8.038688, -0.015006125, -0.0037455559, 10.068098
1195380387784064, 6.0490556, 0.22013968, 8.030313, -0.0036857128, -0.008734226, 10.05611
1195380397423127, 6.0550375, 0.23330021, 8.001599, -0.011915386, 0.015838146, 10.0370865
1195380407062293, 6.067002, 0.22731815, 7.9657063, 0.0014306307, 0.044320583, 10.015523
1195380416701356, 6.0634127, 0.22492532, 7.9704924, 0.0026596785, 0.037356853, 10.01713
1195380426340522, 6.067002, 0.21894327, 7.9920278, 0.0063745975, 0.02423048, 10.03635
1195380435979585, 6.056234, 0.2117648, 7.9944205, 0.010730624, 0.0126776695, 10.031615
1195380445618752, 6.04427, 0.20458634, 7.975278, 0.017947316, 0.013519764, 10.008976
1195380455257918, 6.053841, 0.21655045, 8.000402, 0.005005002, 0.009212971, 10.035049
1195380464896981, 6.0526447, 0.22492532, 8.023134, -0.0070599318, -0.0025315285, 10.052649
1195380474536147, 6.0550375, 0.2117648, 8.048259, 0.0019744635, -0.019078255, 10.073848
1195380484175210, 6.0634127, 0.2213361, 8.042277, -0.0051808357, -0.006617546, 10.074329
1195380493814377, 6.06102, 0.2548356, 8.003992, -0.03295982, 0.022289753, 10.043067
1195380503453439, 6.0490556, 0.23928227, 7.9776707, -0.01638341, 0.024124146, 10.014526
1195380513092606, 6.0490556, 0.25124636, 7.987242, -0.028983712, 0.021010876, 10.022424
1195380522731668, 6.038288, 0.24765715, 7.9860454, -0.027681708, 0.01240778, 10.014902
1195380532370835, 6.058627, 0.23688944, 7.9920278, -0.01306808, 0.022098541, 10.031697
1195380542010002, 6.0693946, 0.22612174, 8.017152, -0.0032761097, 0.013124943, 10.057993
1195380551649064, 6.07418, 0.20219351, 8.065009, 0.01506269, -0.016462326, 10.0985365
1195380561288231, 6.064609, 0.21535404, 8.0614195, 0.0010358095, -0.017866135, 10.090195
1195380570927293, 6.0693946, 0.2117648, 8.009974, 0.012276411, 0.0151901245, 10.051949
1195380580566460, 6.038288, 0.22612174, 7.966903, -0.0020912886, 0.018366814, 9.999165
1195380590205522, 6.0370917, 0.2213361, 7.9274216, 0.0073263645, 0.037709713, 9.9668455
1195380599844689, 6.02752, 0.22253251, 7.941778, 0.0016641617, 0.020873547, 9.972559
1195380609483856, 6.046663, 0.22851457, 7.9561353, -0.0024307966, 0.028630257, 9.99568
1195380619122918, 6.070591, 0.22372891, 7.9920278, 0.0024812222, 0.02628088, 10.038622
1195380628762085, 6.070591, 0.20937198, 8.035098, 0.011026442, -0.0022153854, 10.072664
1195380638401147, 6.067002, 0.21655045, 8.069795, 4.5001507E-5, -0.022830486, 10.09834
1195380648040314, 6.070591, 0.21774685, 8.073383, 1.7613173E-4, -0.019544125, 10.103397
1195380657679481, 6.056234, 0.2105684, 8.068598, 0.004795432, -0.02954197, 10.090773
1195380667318543, 6.04427, 0.20817557, 8.018349, 0.010763466, -0.009594917, 10.043418
1195380676957710, 6.0430737, 0.2117648, 7.9980097, 0.008121729, 3.9339066E-4, 10.026548
1195380686596772, 6.056234, 0.22731815, 7.984849, -0.002896905, 0.021821022, 10.024318
1195380696235939, 6.0358953, 0.23569304, 7.982456, -0.015457511, 0.008102417, 10.010338
1195380705875002, 6.0454664, 0.26081768, 7.9561353, -0.034509003, 0.03677845, 9.995662
1195380715514168, 6.0550375, 0.23928227, 7.975278, -0.013679862, 0.0279665, 10.016228
1195380725153335, 6.0658054, 0.22851457, 7.9860454, -0.0013421774, 0.027539253, 10.031072
1195380734792397, 6.07418, 0.22971097, 8.014759, -0.0037852526, 0.017923355, 10.05905
1195380744431564, 6.078966, 0.22013968, 8.038688, 0.0037609339, 0.0053048134, 10.080811
1195380754070627, 6.0957155, 0.22971097, 8.038688, -5.145073E-4, 0.020682812, 10.091115
1195380763709793, 6.0921264, 0.23928227, 8.045866, -0.010534167, 0.015721321, 10.0948925
1195380773348960, 6.064609, 0.2117648, 8.012366, 0.014590979, 0.00718832, 10.050974
1195380782988022, 6.023931, 0.2117648, 7.9597244, 0.0135291815, 0.0060887337, 9.984467
1195380792627189, 6.023931, 0.2213361, 7.9369926, 0.006412983, 0.019769669, 9.966551
1195380802266252, 6.0311093, 0.22253251, 7.958528, 0.0033880472, 0.013021469, 9.988082
1195380811905418, 6.029913, 0.20937198, 8.009974, 0.008743167, -0.021511555, 10.028103
1195380821544481, 6.0598235, 0.24885355, 8.019546, -0.024057388, 0.010615349, 10.054642
1195380831183647, 6.078966, 0.2321038, 8.053044, -0.008278012, 0.0014190674, 10.092531
1195380840822814, 6.0658054, 0.22971097, 8.049456, -0.007405281, -0.0051441193, 10.081688
1195380850461877, 6.0346985, 0.22372891, 8.017152, -0.003436327, -0.01025629, 10.037045
1195380860101043, 6.033502, 0.24047868, 7.96451, -0.012865424, 0.02389574, 9.994682
1195380869740106, 6.033502, 0.23928227, 7.941778, -0.009572506, 0.035307884, 9.976519
1195380879379272, 6.0215383, 0.24765715, 7.9274216, -0.01866424, 0.03672886, 9.95804
1195380889018439, 6.0311093, 0.21296121, 7.966903, 0.011166692, 0.011613846, 9.994545
1195380898657502, 6.058627, 0.21655045, 8.006385, 0.0076756477, 0.011706829, 10.042702
1195380908296668, 6.056234, 0.18664017, 8.048259, 0.02792275, -0.01906538, 10.074032
1195380917935731, 6.064609, 0.20338993, 8.063812, 0.011554122, -0.01713419, 10.091852
1195380927574897, 6.0550375, 0.20937198, 8.055437, 0.0037363768, -0.016942501, 10.079537
1195380937213960, 6.0550375, 0.19980069, 8.049456, 0.0132339, -0.014983654, 10.074559
1195380946853127, 6.0454664, 0.23330021, 8.002795, -0.014914513, 0.013464451, 10.0322695
1195380956492293, 6.058627, 0.24047868, 7.9764743, -0.016726077, 0.04074192, 10.01933
1195380966131356, 6.0287166, 0.23569304, 7.982456, -0.018859327, 0.012145042, 10.006002
1195380975770522, 6.01436, 0.24765715, 7.9704924, -0.03228408, 0.010103703, 9.988065
1195380985409585, 6.056234, 0.20697916, 7.969296, 0.015168428, 0.03349781, 10.01145
1195380995048752, 6.000003, 0.22253251, 7.9800634, -0.014276445, -0.014100552, 9.986521
1195381004687918, 6.076573, 0.2213361, 7.9860454, 0.001623869, 0.041367054, 10.037376
1195381014326981, 6.0430737, 0.2105684, 8.036295, -0.0013014078, -0.015245914, 10.057081
1195381023966147, 6.053841, 0.21774685, 8.037491, -0.005089879, -0.00371027, 10.064673
1195381033605210, 6.0550375, 0.22013968, 8.05783, -0.009993672, -0.014064312, 10.08168
1195381043244377, 6.053841, 0.20578274, 8.015956, 0.012539268, 0.0078520775, 10.047221
1195381052883543, 6.040681, 0.23569304, 7.9980097, -0.016734242, 0.016307354, 10.025617
1195381062522606, 6.04427, 0.23928227, 7.982456, -0.01671946, 0.028285027, 10.015437
1195381072161772, 6.0358953, 0.23928227, 7.9836526, -0.018640041, 0.019959927, 10.011355
1195381081800835, 6.047859, 0.25124636, 7.9980097, -0.03115344, 0.022937775, 10.030273
1195381091440002, 6.040681, 0.23449662, 8.003992, -0.017512083, 0.009410858, 10.030369
1195381101079064, 6.033502, 0.22372891, 8.008778, -0.010110855, -1.2874603E-4, 10.029636
1195381110718231, 6.029913, 0.22253251, 8.038688, -0.013780832, -0.02079153, 10.051331
1195381120357397, 6.04427, 0.21296121, 8.018349, 0.0012791157, 0.001455307, 10.0435295
1195381129996460, 6.023931, 0.21296121, 8.01117, -0.0023380518, -0.01036787, 10.025559
1195381139635627, 6.0346985, 0.19501504, 7.9944205, 0.019306362, 0.0037641525, 10.018284
1195381149274689, 6.0526447, 0.21774685, 8.000402, -7.4744225E-4, 0.018886566, 10.034341
1195381158913856, 6.053841, 0.2117648, 8.02792, -4.3177605E-4, -1.7023087E-4, 10.056906
1195381168553022, 6.0622163, 0.20338993, 8.019546, 0.010011613, 0.008723259, 10.055087
1195381178192085, 6.0550375, 0.21535404, 7.9597244, 0.003565669, 0.04053402, 10.003271
1195381187831252, 6.0155563, 0.20219351, 7.9657063, 0.008294344, 0.0034680367, 9.983998
1195381197470314, 6.0083776, 0.22372891, 7.960921, -0.0136297345, 0.003836155, 9.976308
1195381207109481, 6.0119667, 0.22372891, 7.9501534, -0.01192838, 0.012783051, 9.969876
1195381216748543, 6.033502, 0.2321038, 7.9944205, -0.020942211, 0.0072054863, 10.018349
1195381226387710, 6.047859, 0.21774685, 8.036295, -0.009245038, -0.009660721, 10.060113
1195381236026877, 6.067002, 0.22253251, 8.05783, -0.012201667, -0.004761696, 10.088928
1195381245665939, 6.0753765, 0.22492532, 8.042277, -0.01049763, 0.012963295, 10.081604
