,device_acc_x,device_acc_y,device_acc_z,earth_acc_x,earth_acc_y,earth_acc_z
97269874912832, 8.323434, -0.13040884, 5.4640107, -0.015177071, 0.058358192, 9.957327
97269884551478, 8.3174515, -0.1363909, 5.4927244, -0.01412636, 0.030626774, 9.968325
97269894190123, 8.344969, -0.148355, 5.521438, -0.004510045, 0.020996094, 10.007315
97269903828769, 8.389236, -0.14356937, 5.5704913, -0.013004124, 0.0074543953, 10.071248
97269913467415, 8.385647, -0.17228323, 5.602794, 0.010020971, -0.025035858, 10.08659
97269923106061, 8.390432, -0.19501504, 5.631508, 0.029895186, -0.04847908, 10.106831
97269932744811, 8.383254, -0.17108682, 5.636294, 0.006317556, -0.050056934, 10.103144
97269942383457, 8.37129, -0.16271193, 5.639883, -0.0014425516, -0.05475855, 10.095061
97269952022103, 8.334201, -0.16271193, 5.651847, -0.0066936016, -0.08483982, 10.070826
97269961660748, 8.329415, -0.15672988, 5.6530433, -0.011529803, -0.08643103, 10.067424
97269971299394, 8.356933, -0.17108682, 5.6554365, 0.004725516, -0.074606895, 10.091877
97269980938040, 8.389236, -0.17706887, 5.6386867, 0.014704943, -0.04382038, 10.109565
97269990576686, 8.402397, -0.16271193, 5.608776, 0.0054006577, -0.011036873, 10.103712
97270000215332, 8.370093, -0.15433706, 5.599205, -0.0044206977, -0.022028923, 10.071389
97270009853978, 8.35454, -0.1471586, 5.5573306, -0.006655991, 0.0049495697, 10.035132
97270019492728, 8.353344, -0.13758731, 5.5262237, -0.0118816495, 0.028818607, 10.016758
97270029131373, 8.329415, -0.11485548, 5.48076, -0.029818118, 0.05380392, 9.971325
97270038770019, 8.312666, -0.09810573, 5.447261, -0.042792976, 0.07191515, 9.938597
97270048408665, 8.321041, -0.12562318, 5.4341, -0.012831271, 0.07978344, 9.938733
97270058047311, 8.330612, -0.14117654, 5.432904, 0.0037878752, 0.08083153, 9.946301
97270067685957, 8.334201, -0.14117654, 5.454439, 3.758669E-4, 0.06343174, 9.96121
