timestamp_acc,device_acc_x,device_81022250earth_acc_y,earth_acc_z
, -2.6333013, 5.349155, 7.865208, 0.047829866, 0.02795744, 9.869456
356080790661000, -2.605784, 5.3623157, 7.798209, 0.08583212, 0.054795265, 9.815613
356080800299750, -2.62373, 5.3479586, 7.7611203, 0.06620848, 0.07567072, 9.783123
356080809938500, -2.6141586, 5.345566, 7.749156, 0.071718216, 0.07347822, 9.769739
356080819577250, -2.57707, 5.345566, 7.749156, 0.09987354, 0.054083824, 9.75976
356080829216000, -2.5722845, 5.369494, 7.745567, 0.11633384, 0.065951824, 9.768522
356080838854750, -2.5722845, 5.369494, 7.820941, 0.1015501, 0.022470951, 9.828754
356080848493500, -2.62373, 5.349155, 7.8592257, 0.043655038, 0.015831947, 9.862185
356080858132146, -2.6679974, 5.3419766, 7.895118, -8.401871E-4, 0.0183115, 9.898864
356080867770896, -2.7026932, 5.322834, 7.928618, -0.044424415, 0.0068454742, 9.924621
356080877409646, -2.7062824, 5.3180485, 7.9920278, -0.05627823, -0.027618408, 9.973675
356080887048396, -2.7242286, 5.319245, 8.030313, -0.07385564, -0.038589954, 10.009734
356080896687146, -2.713461, 5.332405, 7.9836526, -0.050830603, -0.009584427, 9.976646
356080906325896, -2.6895328, 5.3096733, 7.945368, -0.04078245, -0.014032364, 9.927397
356080915964646, -2.6871397, 5.2809596, 7.9346, -0.055033207, -0.025427341, 9.9026985
356080925603396, -2.6715865, 5.2893343, 7.926225, -0.03790152, -0.02614975, 9.896332
356080935242146, -2.6536403, 5.308477, 7.9094753, -0.010616064, -0.015736103, 9.888436
356080944880792, -2.6572297, 5.3300123, 7.877172, 0.0046727657, 0.017595291, 9.875192
356080954519542, -2.6488547, 5.3240304, 7.8831544, 0.0054967403, 0.0055031776, 9.874503
356080964158292, -2.6572297, 5.337191, 7.8867435, 0.004039049, 0.014781475, 9.886707
356080973797042, -2.6536403, 5.3204412, 7.893922, -0.004441619, -0.001185894, 9.882454
356080983435792, -2.6572297, 5.3479586, 7.8987074, 0.008035779, 0.01380682, 9.902063
356080993074542, -2.6464617, 5.365905, 7.952546, 0.019800067, -0.0136117935, 9.951839
356081002713292, -2.6751757, 5.343173, 7.940582, -0.014748454, -0.0040163994, 9.93774
356081012352042, -2.6871397, 5.3276196, 7.928618, -0.031605482, -1.8501282E-4, 9.923014
356081021990792, -2.6679974, 5.3479586, 7.9130645, -0.0016517639, 0.00892067, 9.91642
356081031629542, -2.635694, 5.3742795, 7.884351, 0.0438447, 0.021757603, 9.899007
356081041268188, -2.6488547, 5.365905, 7.8221374, 0.035257578, 0.056185246, 9.848391
356081050906938, -2.629712, 5.3300123, 7.8053875, 0.0314883, 0.03391266, 9.810523
356081060545688, -2.6452653, 5.3503513, 7.8173513, 0.029267788, 0.045260906, 9.83523
356081070184438, -2.609373, 5.375476, 7.8293157, 0.07033157, 0.031808376, 9.848695
356081079823188, -2.609373, 5.3946185, 7.832905, 0.079933405, 0.04048109, 9.861901
356081089461938, -2.6069803, 5.406583, 7.847262, 0.087237835, 0.037107468, 9.879171
356081099100688, -2.6165516, 5.3982077, 7.8496547, 0.0710094, 0.035005093, 9.87916
356081108739438, -2.635694, 5.352744, 7.864012, 0.024725676, 0.010602951, 9.871206
356081118378188, -2.6679974, 5.3204412, 7.88794, -0.02376163, -0.0035738945, 9.881515
356081128016834, -2.6751757, 5.3479586, 7.9094753, -0.015261292, 0.0040979385, 9.9154825
356081137655584, -2.6739793, 5.3276196, 7.9130645, -0.025525331, -0.010241985, 9.907045
356081147294334, -2.7003005, 5.282156, 7.911868, -0.071225286, -0.02111578, 9.888627
356081156933084, -2.757728, 5.2366924, 7.9070826, -0.1404481, -0.0115942955, 9.875733
356081166571834, -2.7613173, 5.2235317, 7.9154572, -0.14985931, -0.021895409, 9.87632
356081176210584, -2.7433712, 5.241478, 7.9034934, -0.123137236, -0.014972687, 9.871626
356081185849334, -2.6919255, 5.2953167, 7.8664045, -0.042514443, 0.009755611, 9.857244
356081195488084, -2.6452653, 5.3515477, 7.844869, 0.03131056, 0.028528214, 9.857822
356081205126834, -2.638087, 5.365905, 7.8293157, 0.046798468, 0.041511536, 9.851231
356081214765584, -2.6225336, 5.365905, 7.8400836, 0.055419922, 0.026449203, 9.855646
356081224404334, -2.6368906, 5.3682976, 7.838887, 0.04368174, 0.03573847, 9.859856
356081234042980, -2.5950162, 5.3946185, 7.8759756, 0.08663094, 0.0056777, 9.892395
356081243681730, -2.5938199, 5.3970113, 7.8867435, 0.08652413, 7.157326E-4, 9.901961
356081253320480, -2.6045876, 5.395815, 7.90469, 0.074734926, -0.0043873787, 9.918528
356081262959230, -2.6165516, 5.375476, 7.9393854, 0.045396566, -0.028579235, 9.938464
356081272597980, -2.638087, 5.3718867, 7.9597244, 0.023196459, -0.030603886, 9.958535
356081282236730, -2.6344976, 5.375476, 7.9357963, 0.030331492, -0.016294003, 9.940423
356081291875480, -2.6464617, 5.373083, 7.9130645, 0.021853328, 0.002102375, 9.924208
356081301514230, -2.678765, 5.3718867, 7.8783684, 3.0326843E-4, 0.039348125, 9.904549
356081311152980, -2.6703901, 5.346762, 7.8664045, -0.0065836906, 0.024813175, 9.879196
356081320791625, -2.6715865, 5.319245, 7.8580294, -0.02243638, 0.0137043, 9.857975
356081330430375, -2.6799614, 5.2977095, 7.8520474, -0.040738463, 0.008718967, 9.8438225
356081340069125, -2.6656044, 5.316852, 7.8628154, -0.019279957, 0.004977703, 9.858896
356081349707875, -2.6285157, 5.3336015, 7.850851, 0.020780087, 9.202957E-5, 9.848444
356081359346625, -2.6368906, 5.322834, 7.847262, 0.008234143, 5.559921E-4, 9.842012
356081368985375, -2.6428726, 5.3276196, 7.881958, -2.2745132E-4, -0.014275074, 9.873873
356081378624125, -2.6428726, 5.3563333, 7.899904, 0.013518572, -0.008467197, 9.903702
356081388262875, -2.6608188, 5.38744, 7.891529, 0.018535614, 0.02374506, 9.918659
356081397901625, -2.6775684, 5.369494, 7.8987074, -0.0063027143, 0.018423557, 9.919177
356081407540271, -2.7026932, 5.3443694, 7.9070826, -0.04235339, 0.010555744, 9.919016
356081417179021, -2.7062824, 5.3300123, 7.877172, -0.04878211, 0.020012856, 9.888379
356081426817771, -2.6799614, 5.383851, 7.87119, 0.0057649612, 0.039880276, 9.905657
356081436456521, -2.6344976, 5.3982077, 7.82453, 0.056085706, 0.04625702, 9.864036
356081446095271, -2.626123, 5.389833, 7.776674, 0.06347418, 0.06347275, 9.819137
356081455734021, -2.629712, 5.3587265, 7.797013, 0.03864646, 0.035586834, 9.819471
356081465372771, -2.6344976, 5.346762, 7.8197446, 0.023648262, 0.017259598, 9.832394
356081475011521, -2.6368906, 5.3240304, 7.8400836, 0.0049842596, -0.0061073303, 9.836938
356081484650271, -2.656033, 5.298906, 7.8903327, -0.031803012, -0.038826942, 9.868525
356081494288917, -2.7218359, 5.2773705, 7.8759756, -0.093470216, -0.0044693947, 9.863127
356081503927667, -2.71705, 5.3096733, 7.8903327, -0.072098136, 0.0041003227, 9.89076
356081513566417, -2.6955147, 5.3336015, 7.8903327, -0.040758252, 0.006536007, 9.897918
356081523205167, -2.6883361, 5.3647084, 7.8831544, -0.01583314, 0.025521755, 9.907091
356081532843917, -2.6428726, 5.3742795, 7.895118, 0.02329123, -8.831024E-4, 9.909592
356081542482667, -2.6548367, 5.35753, 7.9106717, 0.0014441013, -0.012735844, 9.9161415
356081552121417, -2.6668007, 5.3312087, 7.9106717, -0.022944808, -0.019572258, 9.905121
356081561760167, -2.6943183, 5.3443694, 7.880761, -0.031559348, 0.021216393, 9.895785
356081571398813, -2.6691937, 5.373083, 7.9190464, 5.259514E-4, 0.0019659996, 9.935085
356081581037563, -2.6368906, 5.377869, 7.926225, 0.025908828, -0.018613338, 9.934722
356081590676313, -2.6608188, 5.3790655, 7.87119, 0.017449737, 0.028045177, 9.897921
356081600315063, -2.638087, 5.373083, 7.8699937, 0.02933371, 0.0120921135, 9.887635
356081609953813, -2.6213372, 5.3850474, 7.861619, 0.04873669, 0.012793064, 9.882949
356081619592563, -2.617748, 5.375476, 7.84128, 0.04845798, 0.016531944, 9.8605995
356081629231313, -2.6225336, 5.375476, 7.8113694, 0.049255848, 0.036206245, 9.838048
356081638870063, -2.6321049, 5.355137, 7.765906, 0.035774827, 0.056822777, 9.793379
356081648508709, -2.644069, 5.3312087, 7.780263, 0.009662509, 0.04023266, 9.795084
356081658147459, -2.652444, 5.346762, 7.8293157, 0.003995776, 0.024851322, 9.844841
356081667786209, -2.6392834, 5.337191, 7.826923, 0.008884549, 0.013300896, 9.834221
356081677424959, -2.652444, 5.332405, 7.8604226, -0.009242892, -0.0013237, 9.861855
356081687063709, -2.6775684, 5.355137, 7.914261, -0.02131319, -0.0027623177, 9.923807
356081696702459, -2.6751757, 5.346762, 7.9680996, -0.031182408, -0.038949013, 9.961554
356081706341209, -2.6775684, 5.343173, 8.000402, -0.03948629, -0.057255745, 9.986012
356081715979959, -2.678765, 5.3419766, 7.9764743, -0.03769076, -0.043159485, 9.966611
356081725618605, -2.6835506, 5.343173, 7.969296, -0.040970802, -0.035321712, 9.962816
356081735257355, -2.6620152, 5.352744, 7.895118, -0.006976962, 0.001203537, 9.903083
356081744896105, -2.6512475, 5.3742795, 7.8257265, 0.023887277, 0.045040607, 9.856541
356081754534855, -2.6309085, 5.393422, 7.806584, 0.05455947, 0.054971218, 9.8461895
356081764173605, -2.617748, 5.3826547, 7.8233337, 0.053102255, 0.029087543, 9.850203
356081773812355, -2.6273193, 5.3994045, 7.8281193, 0.05543542, 0.041374207, 9.865651
356081783451105, -2.62373, 5.3682976, 7.8424764, 0.035622597, 0.0130319595, 9.859289
356081793089750, -2.6512475, 5.346762, 7.8352976, 9.763241E-4, 0.020026207, 9.849289
356081802728500, -2.6548367, 5.3443694, 7.818548, -8.665323E-4, 0.030185223, 9.835609
356081812367250, -2.6285157, 5.3623157, 7.8281193, 0.02890265, 0.019490719, 9.845901
356081822006000, -2.6428726, 5.352744, 7.8257265, 0.012020707, 0.023805618, 9.842659
356081831644750, -2.6871397, 5.1696935, 7.8017983, -0.1300379, -0.043232918, 9.736309
356081841283500, -2.5387847, 5.723632, 7.9836526, 0.29610455, 0.08374405, 10.14147
356081850922146, -2.8187451, 4.746164, 7.7144604, -0.47505403, -0.16191101, 9.472719
356081860560896, -2.5782664, 6.0107703, 8.084151, 0.4228698, 0.22903061, 10.387445
356081870199646, -2.7146573, 4.6600223, 7.706085, -0.44843984, -0.27467537, 9.39108
356081879838396, -2.652444, 5.9712887, 8.065009, 0.33306313, 0.2550969, 10.3711195
356081889477146, -2.5818555, 4.9052863, 7.7180495, -0.19916809, -0.21161604, 9.497982
356081899115896, -2.772085, 5.572884, 7.9274216, 0.015777469, 0.16572046, 10.077589
356081908754646, -2.5052853, 5.3312087, 7.908279, 0.09295583, -0.10905838, 9.859947
356081918393292, -2.8295128, 5.1206403, 7.8257265, -0.27789003, -0.013045788, 9.766869
356081928032042, -2.469393, 5.808577, 8.04467, 0.3851936, 0.078920364, 10.217612
356081937670792, -2.8187451, 4.729414, 7.702496, -0.4910164, -0.16474247, 9.453723
356081947309542, -2.5603201, 6.009574, 8.133204, 0.41922212, 0.1894083, 10.421497
356081956948292, -2.7003005, 4.644469, 7.676175, -0.43675303, -0.26905918, 9.355385
356081966587042, -2.6105695, 6.01436, 8.042277, 0.39486063, 0.26749182, 10.365248
356081976225688, -2.5519454, 4.8909297, 7.647461, -0.17443979, -0.18675518, 9.426132
356081985864438, -2.7194428, 5.6482577, 7.861619, 0.11397672, 0.21790218, 10.052004
356081995503188, -2.4825535, 5.3312087, 7.776674, 0.11971009, -0.049325466, 9.749089
356082005141938, -2.8103702, 5.1828537, 7.704889, -0.21675885, 0.09465456, 9.698945
356082014780688, -2.4335005, 5.791827, 7.9716887, 0.40977442, 0.06849146, 10.141124
356082024419438, -2.78046, 4.784449, 7.6570325, -0.42804992, -0.12186718, 9.436841
356082034058084, -2.5052853, 6.06102, 8.12124, 0.49891913, 0.17741346, 10.425283
356082043696834, -2.684747, 4.6672006, 7.7156568, -0.43539405, -0.27434778, 9.3945265
356082053335584, -2.6249263, 6.020342, 8.092526, 0.37871277, 0.2372551, 10.412685
356082062974334, -2.6009982, 4.82752, 7.7156568, -0.28059936, -0.23110628, 9.458823
356082072613084, -2.7445676, 5.6757755, 7.9657063, 0.10152626, 0.18943214, 10.1564455
356082082251730, -2.5148566, 5.2606206, 7.8783684, 0.033031225, -0.1312623, 9.800459
