-0.23330021, 3.5521452, 9.314062, 0.070417166, 0.027342156, 9.970867
774742056717315, -0.22372891, 3.595216, 9.2997055, 0.023762941, 0.037180454, 9.972875
774742066357835, -0.20697916, 3.629912, 9.282955, -0.01388073, 0.054202102, 9.969415
774742075998356, -0.18903299, 3.6586258, 9.282955, -0.0398705, 0.07354628, 9.979355
774742085638877, -0.19740787, 3.6873398, 9.2590275, -0.07609916, 0.063958906, 9.967705
774742095279398, -0.2213361, 3.7040894, 9.211171, -0.10873771, 0.03847737, 9.929836
774742104919919, -0.25004998, 3.6693935, 9.220742, -0.07220578, 0.008246057, 9.926924
774742114560440, -0.28235307, 3.6251264, 9.230313, -0.026247263, -0.026646212, 9.920613
774742124201065, -0.30508488, 3.5976088, 9.236296, 0.0012438297, -0.050109506, 9.91678
774742133841585, -0.2847459, 3.5700915, 9.254242, 0.032999754, -0.02759862, 9.922994
774742143482106, -0.2835495, 3.5521452, 9.251849, 0.04787135, -0.025935292, 9.9142275
774742153122627, -0.27876383, 3.546163, 9.276974, 0.062499046, -0.021024123, 9.935336
774742162763148, -0.24885355, 3.5712879, 9.293723, 0.044034958, 0.0101931095, 9.959281
774742172403669, -0.26081768, 3.6107693, 9.3104725, 0.00904274, 0.0010480434, 9.98952
774742182044190, -0.2440679, 3.6227336, 9.355937, 0.012494564, 0.020021692, 10.035775
774742191684815, -0.2644069, 3.6430724, 9.393025, 0.0069680214, 7.8879297E-4, 10.078233
774742201325335, -0.27038896, 3.641876, 9.364311, -0.0039908886, -0.005240351, 10.051203
774742210965856, -0.2739782, 3.6346977, 9.328419, -0.010954618, -0.008699492, 10.015253
774742220606377, -0.29312077, 3.6263227, 9.280562, -0.020274878, -0.027805641, 9.968138
774742230246898, -0.2955136, 3.5976088, 9.238688, -0.007820606, -0.030479938, 9.918797
774742239887419, -0.29072794, 3.5880375, 9.239884, 0.002804041, -0.02360113, 9.916323
774742249528044, -0.27996024, 3.6143587, 9.273384, -0.009684563, -0.010813847, 9.956778
774742259168565, -0.26919255, 3.6143587, 9.316455, 0.0060651302, 8.3850324E-4, 9.996617
774742268809085, -0.25004998, 3.6346977, 9.326026, -0.009018898, 0.020264298, 10.012384
774742278449606, -0.2620141, 3.6526437, 9.312865, -0.030466557, 0.008110568, 10.006944
774742288090127, -0.2548356, 3.644269, 9.302098, -0.025830507, 0.013484567, 9.99369
774742297730648, -0.26799613, 3.6335013, 9.284152, -0.020536423, -9.215176E-4, 9.973425
774742307371169, -0.24885355, 3.615555, 9.275777, -0.005862236, 0.017258853, 9.958607
774742317011794, -0.26799613, 3.5976088, 9.269794, 0.010072231, -0.002530098, 9.94704
774742326652315, -0.2536392, 3.6011982, 9.281759, 0.010799885, 0.01165767, 9.959105
774742336292835, -0.26919255, 3.595216, 9.293723, 0.020813942, -0.0036704242, 9.968495
774742345933356, -0.25842485, 3.6059837, 9.304491, 0.014487982, 0.0042096525, 9.982147
774742355573877, -0.24885355, 3.621537, 9.339187, 0.0126059055, 0.014758289, 10.019855
774742365214398, -0.2416751, 3.62393, 9.32483, 0.0056705475, 0.019693688, 10.007164
774742374855023, -0.25722843, 3.6023946, 9.265009, 0.0071880817, -5.7144463E-4, 9.944032
